Rule	ID	Consequent	TP	FP	TN	FN	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm
56	52216152	2	10	14	6	0	0.533333	0.650000	0.416667	0.800000	0.700000	0.547723	1.428571	1.000000	0.416667	0.300000	0.333333	0.300000	1.000000	0.066667	0.650000	
57	-820154224	2	0	0	20	10	0.666667	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
58	411302860	2	10	5	15	0	0.833333	0.875000	0.666667	0.500000	0.250000	0.866025	4.000000	1.000000	0.666667	0.750000	0.333333	0.750000	1.000000	0.166667	0.875000	
59	1158794955	2	10	5	15	0	0.833333	0.875000	0.666667	0.500000	0.250000	0.866025	4.000000	1.000000	0.666667	0.750000	0.333333	0.750000	1.000000	0.166667	0.875000	
60	770283736	2	9	5	15	1	0.800000	0.825000	0.642857	0.466667	0.250000	0.821584	3.600000	1.000000	0.600000	0.650000	0.300000	0.750000	0.900000	0.144444	0.825000	
61	237824996	2	8	5	15	2	0.766667	0.775000	0.615385	0.433333	0.250000	0.774597	3.200000	1.000000	0.533333	0.550000	0.266667	0.750000	0.800000	0.122222	0.775000	
62	-1551622911	2	10	20	0	0	0.333333	0.500000	0.333333	1.000000	1.000000	0.000000	1.000000	0.000000	0.333333	0.000000	0.333333	0.000000	1.000000	0.000000	0.500000	
63	-693917630	2	0	0	20	10	0.666667	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
64	-724495171	2	9	18	2	1	0.366667	0.500000	0.333333	0.900000	0.900000	0.300000	1.000000	0.000000	0.321429	0.000000	0.300000	0.100000	0.900000	0.000000	0.500000	
65	-1440241945	2	2	0	20	8	0.733333	0.600000	1.000000	0.066667	0.000000	0.447214	INFINITY	1.000000	0.200000	0.200000	0.066667	1.000000	0.200000	0.044444	0.600000	
66	141857864	2	10	5	15	0	0.833333	0.875000	0.666667	0.500000	0.250000	0.866025	4.000000	1.000000	0.666667	0.750000	0.333333	0.750000	1.000000	0.166667	0.875000	
